wikidata_id	name
Q11571009	Special Investigation Team
Q1157235	M. P. Moller Motor Car Company
Q1157895	Dalgliesh-Gullane
Q1157975	Dallara
Q1159964	Augé
Q1161820	Astra Automobile & Waggon Factory _
Q1162255	Portaro
Q116234	Saipa
Q1164191	GAC Fiat
Q1164594	Sofasa
Q1164874	Dansk
Q11652455	Nagasakiya Gen’emon
Q11657874	Abe clan
Q11664512	Suharaya Ichibee
Q11664513	Suwaraya Mohei
Q1166565	Darracq
Q1168707	Tamara
Q1169480	Elbil Norge
Q1170033	Jidé
Q1172846	Dauer Sportwagen
Q117318	Max Motors
Q11753442	Lech
Q1178164	Davis Motorcar Company
Q1178340	Davrian
Q1178936	Dax Cars
Q1179032	Day-Leeds
Q1179203	Dayton Cyclecar
Q1179753	De Bazelaire
Q1179777	Denis de Boisse
Q1179810	De Cézac
Q1179825	De Dietrich vehicles
Q1179828	De Dietrich
Q1179850	De Dion-Bouton
Q1180263	De Riancey
Q1180423	De Vaux
Q1180488	De Wandre
Q1181954	H. Deckert
Q1182396	Deep Sanderson
Q1182928	Deguingand
Q1182989	Dehler vehicles
Q11835724	Scania Production Słupsk
Q1183905	Delaugère et Clayette
Q1183915	Delaunay-Belleville
Q1184133	Delfino
Q1184261	Delin
Q1185269	Demeester vehicles
Q118559	Valmet Automotive
Q1186760	Den Held
Q11874348	Lahden Autokori
Q11876932	Neander (motorcycle)
Q1190247	Mitsubishi Fuso Truck and Bus Corporation
Q1190881	Reckitt Benckiser
Q119335	Nardi
Q1196276	Kuge
Q1199946	Établissements Bertrand Montet
Q1200494	Desande
Q12009441	Vest Buss
Q1201193	Dethleffs
Q1201531	Detroit Diesel
Q1201537	Detroit Electric
Q1201942	DB
Q1202084	Hering & Richard
Q1203412	Deutsche Licenz Tatra vehicles
Q1206653	Devaux Coupe
Q1206891	Devin Cars
Q1207077	Dewan Farooque Motors
Q1208006	Diabolo vehicles
Q1208459	Dialog Semiconductor
Q1209227	Diatto
Q1209228	Diavolino vehicles
Q1210696	South Sea Company
Q121449	Lea-Francis
Q121665	Alex von Falkenhausen Motorenbau
Q121680	David
Q12199362	Bani Asad
Q12199389	Bani 'Abd al-Manâf
Q1223632	Ditmar & Urban vehicles
Q1224098	Olgyay testvérek
Q1226402	Yank
Q12272890	Balkan (factory)
Q1227415	Direct
Q122974	Locomobile Company of America
Q12300146	Aabenraa Karrosseri
Q1230463	Taylor-Dunn
Q1231689	Dixie Flyer
Q1234855	Sautel et Séchaud
Q1238070	Pilbeam Racing Designs
Q1238104	Dominion Motors Frontenac
Q1239317	Fimer
Q1241360	Dongfeng Peugeot-Citroën Automobile
Q1241608	DeLorean Motor Company
Q1241957	Donnet
Q1242345	La Minerve
Q1244316	Ghabbour Group
Q1245066	Doriot, Flandrin & Parant
Q1245788	Stutz Motor Car of America
Q12474507	Bank Mestika Dharma
Q12482593	Esemka
Q1250017	Harper Sports Cars
Q1251520	Nathan-Wagen
Q1252296	Soar Automotive
Q1252404	Douglas
Q1252605	Vintage Cars
Q1253995	Société Parisienne
Q1256806	Fischer vehicles
Q1258106	Alba
Q1258487	Ledl vehicles
Q1260077	Gladiator Cycle Company
Q1261235	Drum Workshop
Q1261493	Peel Engineering Company
Q1262374	Du Pont Motors
Q1262545	Dual-Ghia
Q1263162	Dubonnet
Q1263466	Hampton
Q1263781	Dudly Bug
Q1263990	Albrecht vehicles
Q1264014	Joseph Dufour et Cie
Q1265873	Paris-Rhône
Q1266512	Duplex
Q1266513	Duplex Motor Engineering
Q1266627	Dupressoir
Q1266780	Durant Motors
Q1268091	Dux
Q126944	Voith
Q1269584	E-M-F Company
Q1270344	Marathon Motors Engineering
Q1270707	DFR
Q1272541	Elmore
Q1272890	D'Aoust (automobile)
Q1273017	D’Yrsan
Q1273181	E-mu Systems
Q1273292	Walter vehicles
Q1273326	E-Volution Jetflyer
Q1273370	E.N.V. Motor Syndicate
Q1273452	E. B. Replicar vehicles
Q1273683	VELAM
Q12747125	Tigar Tyres
Q1275062	ELBO
Q1275711	Hollier
Q12759941	TAS vehicles
Q1276312	Eurostar Automobilwerk
Q1276760	Eagle Engineering
Q1278188	E.I.M. vehicles
Q1280099	Ebro
Q1280142	Gnom
Q1280273	Echarri Motor S.L.
Q1280552	Thornycroft
Q1281932	Lebeau-Cordier
Q1281942	Eclipse
Q1281995	EcoCraft Automotive
Q1282155	Ecosse
Q1283357	Edelsbrunner Automobile München
Q1283715	Edford
Q1283972	Little Midland
Q1288350	Excelsior
Q1289751	Maurer-Union
Q1290357	Albar
Q1295166	Ruby Cycle Co Ltd
Q1297359	Egg
Q1297547	Egger-Lohner
Q1298355	Ego vehicles
Q1299058	Pope-Robinson
Q1299145	Egy-Tech Engineering
Q1299189	Egyptian German Automotive Company
Q1299196	Egyptian Light Transport Manufacturing Company
Q1300515	Timmis
Q1300960	Seng et Henry
Q1302036	Werner Frères
Q1302372	Paragon
Q1308052	Röhr tractors
Q1309571	Roger-Benz vehicles
Q1309965	Gitane
Q1313428	Hudson Motor Car Company
Q1314752	SIMA-Violet
Q1315638	Pars Khodro
Q1317710	Puma
Q131835	Schecter Guitar Research
Q131885	Scripps-Booth
Q1321782	Titus Claudius Asellus
Q1323807	El-Trans vehicles
Q1324329	Chevrolet El Morocco
Q1324854	Elan Microelectronics Corporation
Q1325800	Eiermann & Weber
Q1325810	Electra
Q1328368	National Pescara
Q1328397	Hurtan
Q1328436	Ateliers Defrance Frères
Q1328670	Fiberfab
Q1328997	Kühlstein
Q1330601	Elisar vehicles
Q1330764	Elite vehicles
Q1331424	Elka
Q1331779	Ellemobil
Q1333043	Kia Motors Slovakia
Q1333241	Stéla vehicles
Q1333354	Waaijenberg
Q1333801	Jackson Guitars
Q1333970	Elswick
Q1334503	La Cuadra
Q133496	Adamson
Q1335416	Emeraude
Q1335661	Emgrand
Q13359067	Hilton Pacey Motors
Q1336420	Ferves
Q1338663	Toyota Motor Manufacturing Turkey
Q1339832	Van Hool
Q1339929	Kaiser Motors
Q1341637	Enfield Automotive
Q1342825	English Mechanic vehicles
Q1343045	Iran Khodro
Q1344333	Ensinger
Q1344432	Marden vehicles
Q1345183	Entrop
Q1346	Lada Zapad Tolyatti
Q1346243	Automobiles Lombard
Q1349442	Esther
Q1351854	McLaren Automotive
Q13530143	Effa Motors
Q1355187	Erla
Q1359036	Think Global
Q1361085	Volkswagen de México
Q136119	ZF Friedrichshafen AG
Q1361906	Saleen
Q1363490	Mecca vehicles
Q1363908	Heuliez
Q136404	ZSD Nysa
Q1364425	Mekong Auto
Q1365013	Lozier
Q1367261	Eastern States Conference on Linguistics
Q1367416	Esculape
Q1367849	Schaller Electronic GmbH
Q1369339	Lambert
Q13695003	Rumpler
Q1370323	Marsonetto vehicles
Q1370612	Estrima
Q1370960	Juwelier Wagner
Q1372237	Eudelin
Q1372694	Kempten
Q1374359	Eureka
Q1374821	Eurocar
Q1377099	Europestar
Q1378240	Européenne vehicles
Q1381513	Evante
Q1383437	Excalibur
Q1383486	Excelsior-Mascot
Q1384494	Expertise
Q1384817	Tarrant automobile
Q1385256	Pirastro
Q1386140	Frontenac Motor Corporation
Q1389061	Selden Motor Vehicle Company
Q1389299	FN
Q1390089	Barison & C.
Q1390101	Standard
Q1390102	Fiam vehicles
Q1390106	Fial
Q1390107	FIM vehicles
Q1390114	Junior F.J.T.A.
Q1390910	Ralf-Stetysz
Q1391801	Reyonnah
Q1392818	Ansbach
Q1393391	Fairthorpe Cars
Q1393859	Fal-Car
Q1393968	Falcon Shells
Q1393969	Falcon vehicles
Q13973631	Lufbery
Q1397713	Haima Automobile
Q1398506	Faure vehicles
Q1399898	Unitas-Tatra vehicles
Q1401332	Fehr et Rougouchin
Q1401349	Rigal
Q1402161	Fejes
Q1402206	Felber vehicles
Q140266	Zagato
Q1403492	Remo
Q1404633	Fendt Caravan
Q1404918	Fenton vehicles
Q1404990	Ferbedo motorcycles
Q1408130	Weiertz
Q1409025	Ermini vehicles
Q1409250	Halloren
Q1411065	Staunau
Q1412264	Samois
Q14157870	Bognor
Q1416215	GoDaddy
Q1417540	Finlandia
Q1420125	Dougill
Q1420893	Fisker Inc.
Q1420970	Fisson vehicles
Q1422710	Hindustan Motors
Q1423376	Gobron vehicles
Q142381	Minardi
Q1425561	Kawai Musical Instruments
Q1426813	Flaid
Q1426969	Vixen vehicles
Q1427058	Flanders Manufacturing Company
Q1428119	Matchless
Q1428829	Flint
Q1429185	FTF Trucks
Q1432633	SAIC Volkswagen
Q1432985	Norsk
Q1434541	Flyer
Q1435112	Edwin Foden, Sons & Co.
Q1435382	Volkswagen Sarajevo
Q1435691	FOD vehicles
Q1435734	Fondu vehicles
Q1435985	Foos Gas Engine Company
Q1436062	Vabis
Q1436646	Force Motors
Q1436858	Ford Italia
Q1436863	Ford Motor Company of Japan
Q1436915	Ford Motor Argentina
Q1436934	Ford Australia
Q1436952	Ford Performance Vehicles
Q1437016	Ford Vietnam
Q1437020	Ford do Brasil
Q1439274	Forward
Q1439446	Fossum
Q1439748	Fouillaron vehicles
Q1440623	Fram vehicles
Q1440626	Non-Inscrits
Q1440758	France Jet Motors
Q144235	Fábrica Nacional de Motores
Q1446136	Lavie
Q144846	Artés de Arcos
Q1451296	Truelle et Compagnie
Q1451389	Ceirano vehicles
Q1451392	Marca-Tre-Spade
Q14515909	Strømmen-Dodge vehicles
Q14515910	Ockelbo
Q1453054	La Buire
Q14541285	Antony vehicles
Q14541309	Ache vehicles
Q1454227	Freight Rover
Q14548944	Replicar Hellas
Q1455332	Steyr-SSF
Q1456473	Tan Chong Motor
Q1456484	Iguana Kits
Q1457634	Friedmann-Knoller vehicles
Q1457991	Adami
Q1458793	Ley vehicles
Q1460186	Inter-State
Q1460483	Volkswagen Chattanooga Assembly Plant
Q1461642	Latil
Q1462357	FSO Warszawa
Q1462485	Lohr Industrie
Q1464318	Toyota Motor Manufacturing Canada
Q1464436	Siata
Q1465097	Meadows Frisky
Q1465524	Stutz Motor Company
Q1466857	Stephens vehicles
Q1467616	Matford
Q1467624	Violet-Bogey vehicles
Q146782	Zanella Fratelli
Q1468866	Lunant
Q1469513	Reyrol vehicles
Q1470646	Moon Motor Car
Q1471167	Gauthier vehicles
Q1471174	Zakłady Przemysłu Bawełnianego "Frotex"
Q1471896	Jolana
Q1472985	Saroléa
Q1473418	Venturi Automobiles
Q1473743	Sabian
Q1473750	Fuller Buggy Company
Q1475085	General Motors of Canada
Q1475488	Giad Auto
Q1475941	Società Torinese Automobili Rapid
Q1476369	Perodua
Q1476861	Maxwell automobile
Q1477881	Pegaso
Q1478659	Alba
Q148315	Zato vehicles
Q1483988	G&L Musical Instruments
Q1484161	G.E.M.
Q1484205	Groupe de recherches polypoétiques
Q1484220	GWK
Q1484243	G. F. Steinmeyer & Co.
Q1484249	Fratelli Ceirano
Q1486081	GM Vietnam
Q1487329	GTM Cars
Q14906211	Austro-Adler vehicles
Q14906224	Alpheon (car brand)
Q14906463	Bohrer vehicles
Q14906619	ESA vehicles
Q14906981	Krauseco vehicles
Q1490792	Gadabout
Q14912251	Wyner vehicles
Q14912706	Pretis vehicles
Q1491754	Galba
Q14920539	A. H. Yocum & Company
Q1492546	Galloway
Q1492993	MMC Automotriz
Q1493023	Wolsit
Q1493942	Garbaty
Q14942171	Marquette Motor Company
Q1494352	Rutenber Motor Company
Q1494782	Hafei
Q14956121	Woojin Inderstrial Systems Co., Ltd.
Q1496316	Gautier–Wehrlé
Q1496414	Höfner
Q1496600	Génestin vehicles
Q1497705	Geering
Q1499901	Grantura Plastics
Q1500748	Thrige
Q1501637	General Motors Thailand
Q1504025	Marlin
Q1505364	Monotrace
Q1508963	Georges Irat
Q1509068	Georges Roy vehicles
Q1509312	Maubeuge Construction Automobile
Q1509629	Gepard
Q1510155	Guerraz
Q151310	Briggs Automotive Company
Q1513672	Isuzu HICOM Malaysia
Q1514867	Moreland Motor Truck Company
Q1514963	SSC North America
Q15155544	Equus Automotive
Q151602	.au Domain Administration
Q1517246	Tazzari vehicles
Q1517458	Wally Yachts
Q1517635	Winton Motor Carriage Company
Q1517756	Marmon Motor Car Company
Q1518420	Gesellschaft für Automobilwagenbau System Loutzky
Q1522049	Standard Motor Company
Q1522129	Le Cabri
Q1522668	Giannini Automobili
Q1523727	Henry Ford Company
Q1523740	C. Gignoux
Q1524189	Gilco vehicles
Q15243451	Madelvic Motor Carriage Company
Q1524543	Gillet-Forest
Q1524546	Gillet Herstal
Q1525230	Giocattolo
Q1525445	Hyundai Motor India Limited
Q1525639	Giottiline
Q1527140	GAC Toyota
Q15290549	Venturi Paris
Q15304776	Georges Richard
Q1531301	Bartholomew Company
Q1531608	Global Electric Motorcars
Q1531902	Glockenklang GmbH
Q1532685	Glöckler-Porsche
Q15330	Waymo
Q1533555	Gobron-Brillié
Q1533855	Pilot automobiles
Q1536520	Tama Drums
Q1536667	Alamagny
Q1537825	Willys
Q1537958	Gordon
Q1539149	Vanguard International Semiconductor Corporation
Q1540796	Joswin
Q1541032	Hanomag-Henschel
Q1541900	Graham-Paige
Q1542124	Noble
Q1542157	Volkswagen Motorsport
Q15437551	Ernest Muhleisen
Q1544189	Mitsuoka
Q154470	Messerschmitt
Q1544816	Hillman
Q15456228	Westinghouse Electric & Manufacturing Company
Q1546128	Grewe & Schulte-Derne vehicles
Q1546182	Greyhound vehicles
Q1546598	Albanesi
Q1546606	Griffith vehicles
Q1547345	Mia electric
Q1547470	Kölner Motorenfabrik vehicles
Q1547795	Rochet-Schneider
Q1548313	Röhr vehicles
Q1550249	Gruber & Maklar
Q1550700	TagAZ
Q1551521	Automobiles Tracta S.A.
Q1551857	Rolland-Pilain
Q1552750	Guangqi Honda
Q1552779	Guangzhou Peugeot Automobile Company
Q155444	Élan Motorsport Technologies
Q1554503	Imp vehicles
Q1555170	Gurgel
Q1555238	Solidor
Q1555278	Jouvie
Q1557434	H. Guillemin & Cie
Q1559282	Kearns vehicles
Q1559708	All Cars vehicles
Q15623102	Sizaire-Berwick
Q1562358	Lost Cause Motors
Q15631012	T.B. (Thompson Brothers)
Q15631175	J.H. Sizelan Company
Q15631187	J. Depreux
Q15634328	Leichtbau Maier
Q1563685	HICOM Automotive Manufacturers
Q156391	Steinway & Sons
Q1564901	Sandberg Guitars
Q1565901	Cars & Kit - Herrler
Q1566899	Jeanperrin vehicles
Q15678788	Fiat Chrysler Automobiles
Q15679918	Automobiles Robert Serf
Q1569355	LTI
Q1571336	Ruston
Q1571360	Hallamshire
Q1572159	ZX Auto
Q1572859	Ultima Sports
Q1573217	Locost
Q15734427	Suffolk vehicles
Q15734433	Ram vehicles
Q15734434	Lifu vehicles
Q15734441	Bramwith vehicles
Q1573926	Hammonia vehicles
Q1576304	Hannoversche Waggonfabrik
Q1576672	Hanover
Q15770	Zastava Automobiles
Q1577346	Radical Sportscars
Q1577460	Henriod
Q1577683	pedicacion
Q15782493	Alma
Q15783480	Lutzmann vehicles
Q15783688	Anton Rumpler
Q15784745	Autodynamics
Q15784754	Automobiles ERAD
Q15784831	Averly
Q15784869	Axona
Q15784980	BRM
Q15788088	Best
Q15792220	Automobilwerk Walter Schätzle
Q15792408	Baja
Q15793782	Cedre
Q15793907	Charlatte vehicles
Q15793911	Charles Barrelier (Firm)
Q15794466	Cicostar vehicles
Q1580324	Mostek
Q15807459	Ehrhardt-Szawe
Q15807676	Guangzhou Automobile Industry Group
Q15808591	Aesculap vehicles
Q15809144	FMJ
Q15809305	Farcot et Olivier vehicles
Q15809810	Flipper vehicles
Q15810764	Fend vehicles
Q15811846	George White Buggy Company
Q15816043	Hotzenblitz vehicles
Q15818776	GMT vehicles
Q15820360	Inzersdorfer Industriewerke AG Hans Fuchs
Q1582060	Jewel
Q15820628	Jacques Muller
Q15823482	Kikos vehicles
Q15824861	L.M.
Q15825602	Lenham vehicles
Q15832619	Local Motors
Q15833259	MW vehicles
Q1583577	Hansa-Automobil
Q15836070	Müller
Q15840540	Pilgrim vehicles
Q1584064	Hanzer vehicles
Q15840683	Podvin
Q1584295	Nanjing Automobile
Q15843121	Roussey Frères
Q15843337	Rumpler
Q1584348	REO Motor Car Company
Q15843534	Tomcar vehicles
Q15851868	U-Wagen-Werke
Q15852096	Unison
Q15852273	Boursaud vehicles
Q15853027	Vitrex vehicles
Q15853325	Wacheux
Q15853353	Wagen-Karosserie- und Automobilfabrik AG, vorm. A. Weiser Sohn
Q15854350	WAF vehicles
Q15855310	Nobel
Q15855988	JL vehicles
Q15855991	Delsaux vehicles
Q15856522	A.C.A. Atelier d'Etude de constructions automobiles S.à r.l.
Q15858936	HKT vehicles
Q1587014	Mutel (engineering)
Q1588831	Hataz vehicles
Q158888	Yamaha Motor Company
Q15906363	Luther & Heyer vehicles
Q15906419	Torpedo motorcycles
Q15906534	General Electric Automobile Company
Q15906849	Holley Motor Company
Q1591406	Hautier vehicles
Q1591643	Hawk
Q1591974	Haynes Automobile Company
Q1592799	VEB Hebezeugwerk Sebnitz
Q15957753	Anzani
Q1598207	Métallurgique
Q1603554	Officina Meccanica Giuseppe Meldi
Q1603963	La Nef vehicles
Q16040593	DS Automobiles
Q16040671	Maybach Manufaktur
Q16041304	Zinoro
Q1604779	Tecnologia Automotiva Catarinense
Q1605415	Henney Motor Company
Q1606352	Henriod vehicles
Q1607390	Courage Compétition
Q1609604	Hercules
Q1611262	RMA Rheinau
Q1612312	Savage GT
Q16132409	Grinshṭain Har-Gil adrikhalut nof ṿe-tikhnun sevivati
Q1613516	SA Appareils Mécaniques et Engrenages
Q1613763	Hero MotoCorp
Q1615866	HAG vehicles
Q1617134	Superformance
Q1617276	HS vehicles
Q1617677	Higer
Q1618550	Star
Q1618641	Hill & Stanier
Q1618682	Hille-Werke
Q161895	Velie
Q1620632	Presto Works
Q1621085	Volvo Halifax Assembly
Q1621573	Hobby-Wohnwagenwerk
Q16232436	Sobrenadar
Q1623998	Rovin
Q16240762	Arrow Development
Q162434	Intermeccanica
Q1624372	Holden Special Vehicles
Q1624513	Karosseriewerke Weinsberg
Q1626052	Squire Car Manufacturing Company
Q1626564	Honda Canada
Q1626699	Honda Türkiye
Q1626772	Honda of America Manufacturing
Q1626774	Honda of the UK Manufacturing
Q16269013	Offord & Sons coachwork
Q1627487	Hoosier Scout vehicles
Q162810	Gerstlauer
Q16295327	WRK Orgelbau
Q1630728	Hot Rod Doesburg vehicles
Q1630793	Hotchkiss et Cie
Q1631322	Houlberg
Q1631501	Polarsun Automobile
Q1634368	SEAT Sport
Q1635796	LuAZ
Q1636194	Humber Limited
Q1636249	Hulas Motors
Q1636372	Hult Healey
Q163668	Hermes-Simplex
Q1637310	Janoir
Q1637323	Marcos Engineering
Q1638088	Pioneer
Q1638351	Hupmobile
Q163926	Towarzystwo Budowy Samochodów AS
Q164082	Hexe
Q16413085	Neale (electric car)
Q1641633	Hyundai Assan Otomotiv
Q1641635	Hyundai Automotive South Africa
Q1641694	Sestroretsky Autoworks "Hyundai"
Q1642933	Tunisian Company of Automotive Industry
Q1645114	Sutton
Q164726	UMM
Q16480733	THACO
Q1648363	Vilvoorde Renault Factory
Q1648870	Parant Frères
Q1649920	haresh Kumar
Q1650468	IndoMobil Group
Q1650528	Moog Music
Q1650644	J. Prunello et Cie
Q1651113	Süddeutsche Motorwagen-Industrie Noris Gebr. Bauer
Q1653157	ICAI Romanazzi
Q16531742	Valvoline
Q165379	Danvignes
Q1653944	Maschinenfabrik A. Flocken
Q1654484	Volkswagen Sachsen GmbH
Q1660253	Imperator
Q1660283	Imperial
Q1661919	IENA
Q1663015	IVM
Q1663247	Rochet vehicles
Q1663646	Inka and Markus Brand
Q1664128	Innocenti
Q16648686	Yamaha Guitars
Q16658241	The Anti-Vibrator Company
Q1665916	Intercamp
Q1666768	International Motor Products
Q1669078	Heibao
Q167016	Ginetta Cars
Q1670803	La Va Bon Train
Q1671467	Progetti Gestione ecologiche
Q167158	NedCar
Q1672135	lota Racing Cars
Q1672288	Ipsi
Q1672776	Van Clee vehicles
Q1673481	Röck vehicles
Q16738520	Daewoo Motor Polska
Q1674581	Isotta Fraschini
Q1674927	Isuzu Astra Motor Indonesia
Q1674950	Isuzu Malaysia
Q1674958	Isuzu Truck South Africa
Q1674963	Isuzu Vietnam
Q1674979	Knox Automobile
Q1675711	Ivel
Q1676269	JBS vehicles
Q1676591	JG Sport
Q1676672	JPL
Q1677322	Jackson Automobile Company
Q1678033	New British
Q1678157	Jacquot vehicles
Q1678465	Jago
Q1680055	James Boothby Motors
Q1681049	James Robertson
Q1682439	Scaldia vehicles
Q16829367	Dennis
Q16830614	Berkeley
Q16830932	Cremorne vehicles
Q1683100	Janémian
Q16832222	Jesse Ellis & Company
Q16832289	Johnson Brothers
Q1683410	Jaquemot & Marlier
Q16834431	Daimler Trucks North America
Q16837105	Fleetwood
Q1684281	Toyota Motor Manufacturing Kentucky
Q1685260	Phébus vehicles
Q16854560	Magnet
Q16854677	Merkel Motor Company
Q16855028	COURB
Q1685557	Jean Gras
Q16857244	Stanley Engineering Company
Q16857799	FD vehicles
Q16857836	Volk vehicles
Q16858051	William Robertson & Sons
Q16858154	YEC
Q16859757	Matthijs Langhedul
Q1686198	Jeecy-Vea
Q1686558	Jehmlich Orgelbau Dresden
Q168722	Unic
Q1687417	Lilpop, Rau i Loewenstein
Q1688609	Jewell
Q1688877	Malcolm Jones
Q1688888	Changhe Suzuki vehicles
Q1689600	Youngman
Q16904812	Read (automobile)
Q16908803	Rex (automobile)
Q16909342	Robie
Q1691055	Teilhol vehicles
Q16915519	Reliance
Q16918860	Owen Motor Car Company
Q16919404	Princess
Q1692214	Zeta
