language_code,english_match
oc,0.93
olo,0.72
om,0.97
or,0.02
os,0.05
ota,0.75
pa,0.01
pag,0.98
pam,0.96
pap,0.98
pcd,0.97
pdc,0.97
pdt,0.99
pfl,0.93
pi,0.79
pih,0.98
pl,0.79
pms,0.95
pnb,0.01
pnt,0.71
prg,0.98
ps,0.04
pt,0.88
pt-br,0.9
qu,0.83
qug,0.99
rgn,0.98
rif,0.99
rm,0.97
rmf,0.92
rmy,0.98
rn,0.99
ro,0.82
roa-tara,0.96
ru,0.02
rue,0.07
rup,0.96
ruq,0.95
ruq-cyrl,0.97
ruq-latn,0.99
rw,0.97
rwr,0.98
sa,0.04
sah,0.1
sat,0.87
sc,0.95
scn,0.95
sco,0.95
sd,0.06
sdc,0.98
sdh,0.98
se,0.92
sei,0.99
ses,0.98
sg,0.98
sgs,0.78
sh,0.51
shi,0.93
shi-latn,0.99
shi-tfng,0.98
shn,0.14
shy-latn,0.22
si,0.02
simple,0.93
sjd,0.02
sje,0.98
sju,0.95
sk,0.92
skr,0.0
skr-arab,0.0
sl,0.96
sli,0.99
sm,0.98
sma,0.98
smj,0.97
smn,0.63
sms,0.58
sn,0.99
so,0.94
sq,0.92
sr,0.21
sr-ec,0.01
sr-el,0.83
srn,0.97
srq,0.98
ss,0.98
st,0.98
stq,0.96
sty,0.0
su,0.88
sv,0.88
sw,0.93
szl,0.9
szy,0.83
ta,0.0
tay,0.78
tcy,0.25
te,0.01
tet,0.98
tg,0.0
tg-cyrl,0.27
tg-latn,0.92
th,0.01
ti,0.0
tk,0.93
tl,0.92
tly,0.97
tn,0.98
to,0.98
tpi,0.98
tr,0.86
tru,0.99
trv,0.0
ts,0.99
tt,0.14
tt-cyrl,0.25
tt-latn,0.98
tum,0.99
tw,0.98
ty,0.98
tyv,0.17
tzm,0.2
udm,0.12
ug,0.1
ug-arab,0.67
ug-latn,0.99
uk,0.02
ur,0.0
uz,0.88
uz-cyrl,0.5
uz-latn,0.67
ve,0.99
vec,0.95
vep,0.88
vi,0.73
vls,0.97
vmf,0.98
vo,0.96
vot,0.99
vro,0.69
wa,0.96
war,0.92
wo,0.97
wuu,0.01
xal,0.19
xh,0.98
xmf,0.05
xsy,0.6
yi,0.04
yo,0.92
yue,0.17
za,0.97
zea,0.96
zgh,0.11
zh,0.01
zh-cn,0.0
zh-hans,0.01
zh-hant,0.0
zh-hk,0.01
zh-mo,0.03
zh-my,0.01
zh-sg,0.01
zh-tw,0.01
zu,0.97
