language_long	num_permuted_remove_parenthesis	num_surviving_remove_parenthesis
Kabardian	0	353
Kabardian in Cyrillic script	0	177
Kabiye	0	670
Cape Verdean Creole	0	355
Kongo	2	105617
Khowar	0	179
Gikuyu	0	25728
Kirmanjki	0	189
Kwanyama	0	24754
Eastern Pwo	0	6
Kazakh	62	12559
Kazakh Arabic alphabets	1	1616
Kazakh in China	1	989
Kazakh in Cyrillic script	1	1732
Kazakh in Kazakhstan	1	1417
Kazakh in Latin script	1	26943
Kazakh in Turkey	1	24731
Greenlandic	1	41809
Khmer	2	844
Kannada	51	8565
Korean	1920	121056
North Korean standard language	0	194
Permyak	0	278
Kanuri	0	24770
Karachay-Balkar	0	240
Krio	0	362
Kinaray-a	0	23358
Karelian	0	336
Kashmiri	0	299
Kashmiri in Arabic script	0	177
Kashmiri in Devanagari script	0	178
Ripuarian	3	29245
Kurdish	16	27326
Kurdish Arabic alphabet	0	936
Kurdish in Latin script	0	24367
Kumyk	0	2
Komi	0	352
Cornish	1	24889
Kyrgyz	17	3324
Latin	170	66346
Judaeo-Spanish	0	27950
Luxembourgish	147	204002
Lak	0	227
Lezgian	0	998
Lingua Franca Nova	1	31391
Luganda	0	24208
Limburgish	49	152341
Ligurian	11	132760
Livonian	0	1549
Laki	0	823
Ladin	3	148
Lombard	19	61091
Lingala	0	25249
Lao	3	21651
Lozi	0	23239
Northern Luri	0	383
Lithuanian	416	181876
Latgalian	0	24743
Mizo	0	23231
Southern Luri	0	11158
Latvian	53	92230
Classical Chinese	42622	365658
Laz	0	23190
Madurese	0	1963
Maithili	15	3964
Banyumasan	17	75631
Moksha	0	275
Malagasy	48	131852
Marshallese	0	22648
Meadow Mari	0	736
Māori	0	37824
Minangkabau	21	156698
Macedonian	121	17453
Malayalam	102	24316
Mongolian	10	6566
Meitei	0	12
Mon language spelling	5	50
Moldovan	0	22157
Marathi	76	14035
Hill Mari	0	483
Malay	127	141790
Maltese	84	60355
Muscogee	0	25162
Mirandese	0	28023
Burmese	161	23804
Erzya	7	2062
Mazanderani	4	2437
Nauruan Wikiquote	0	25047
Nahuatl	1	27112
Southern Min	27	8427
Neapolitan	10	131158
Bokmål	4117	1221607
Low German	392	287175
Dutch Low Saxon	219	162751
Nepali	65	6229
Newar	9	1073
Ndonga	0	24646
Nias	0	1
Niuean	0	325
Dutch	34119	7096474
informal Dutch	0	6
Nynorsk	181	852361
Norwegian	0	388
Northern Thai	0	170
Novial	1	26215
N'Ko	0	263
Norman	2	109316
Northern Sotho	0	24796
Navajo	1	24808
Chewa	1	24817
Noongar	0	3945
Occitan	24	168096
Livvi-Karelian	0	2339
Oromo	0	24681
Odia	6	9119
Ossetian	1	866
Ottoman Turkish	0	203
Eastern Punjabi	114	10196
Pangasinan	0	25165
Kapampangan	4	26268
Papiamento	23	76780
Picard	12	135795
Pennsylvania German	3	30652
Plautdietsch	3	24976
Palatinate German	215	55120
Pali	0	3494
Pitkern	0	25167
Polish	18173	710897
Piedmontese	23	139801
Western Punjabi	87	7561
Pontic Greek	0	899
Old Prussian	1	74526
Pashto	5	1843
Portuguese	14287	1362407
Brazilian Portuguese	946	286288
Quechua	5	30816
Kichwa	0	23388
Romagnol	1	52712
Riffian	0	23361
Romansh	19	164164
Finnish Kalo	0	591
Romani	0	25507
Kirundi	0	24825
Romanian	402	304742
Tarantino	0	25147
Russian	5589	698331
Rusyn	10	766
Aromanian	0	26372
Megleno-Romanian	0	1268
Megleno-Romanian in Cyrillic script	0	189
Megleno-Romanian in Latin script	0	24588
Kinyarwanda	1	24988
Marwari (India)	0	162
Sanskrit	9	2301
Sakha	15	1209
Santali	22	24545
Sardinian	16	143279
Sicilian	12	135528
Scots	174	164750
Sindhi	12	1351
Sassarese	0	23674
Southern Kurdish	0	151
Northern Sami	3	48434
Seri	0	23608
Koyraboro Senni	0	165
Sango	0	24775
Samogitian	3	25465
Serbo-Croatian	232	59072
Tashelhit	0	622
Tachelhit in Latin script	0	24583
Tachelhit in Tifinagh script	0	177
Shan	8	207
Shawiya in Latin script	0	18
Sinhala	8	2138
Simple English	12	6853
Kildin Sami	0	326
Pite Sami	0	17838
Ume Sami	0	590
Slovak	382	304577
Saraiki	0	24
Saraiki in Arabic script	0	3
Slovene	344	2386521
Silesian German	0	23560
Samoan	0	24851
Southern Sami	0	41893
Lule Sami	0	19080
Inari Sami	1	791
Skolt Sami	0	711
Shona	0	25820
Somali	2	25569
Albanian	2816	2514084
Serbian	425	42523
Serbian written in Cyrillic	2	10832
Serbian written in Latin script	3	98204
Sranan Tongo	22	27038
Sirionó	0	493
Swazi	0	22911
Sesotho	0	25040
Saterland Frisian	0	30351
Siberian Tatar	0	6
Sundanese	23	78544
Swedish	10102	1394620
Swahili	21	128968
Silesian	1	28591
Sakizaya	1	622
Tamil	496	24257
Atayal	0	29
Tulu	0	547
Telugu	62	13623
Tetum	1	49654
Tajik	11	47156
Tajik in Cyrillic script	0	289
Tajik in Latin script	0	25036
Thai	164	26249
Tigrinya	0	33
Turkmen	1	24250
Tagalog	53	63968
Talysh	0	182
Tswana	0	24839
Tongan	5	25038
Tok Pisin	0	26174
Turkish	964	237558
Turoyo	0	23185
Tsonga	0	24814
Tatar	54	30520
Tatar in Cyrillic script	5	808
Tatar in Latin script	0	24598
Tumbuka	0	24863
Twi	1	22894
Tahitian	4	59110
Tuvan	3	942
Central Atlas Tamazight	0	4
Udmurt	1	460
Uyghur	8	725
Uyghur Arabic alphabet	0	237
Uyghur Latin alphabet	0	24597
Ukrainian	2741	161004
Urdu	266	19240
Uzbek	42	33128
Uzbek Cyrillic alphabet	0	1
Uzbek Latin alphabet	0	5
Venda	0	24970
Venetian	17	136817
Veps	1	25758
Vietnamese	1998	170434
West Flemish	18	134237
Main-Franconian	4	80284
Volapük	76	110886
Votic	0	24508
Võro	1	2285
Walloon	13	138606
Waray	11	44543
Wolof	2	105804
Wu Chinese	226	9483
Kalmyk Oirat	0	258
Xhosa	0	25306
Mingrelian	10	2473
Yiddish	13	2905
Yoruba	18	34863
Cantonese	127	22915
Zhuang	1	24760
Zeelandic	0	30541
Standard Moroccan Berber	0	4
Chinese	46045	677797
Putonghua	1071	54767
Simplified Chinese	28	88546
Traditional Chinese	43777	507156
Chinese (Hong Kong)	8	39076
Chinese in Macau	2	5140
Malaysian Mandarin	1	5177
Singaporean Mandarin	2	19318
Taiwanese Mandarin	64	25656
Zulu	3	107097
