language_long	num_permuted_comma	num_surviving_comma
Kabyle	67	77241
Kabardian	0	353
Kabardian in Cyrillic script	0	177
Kabiye	0	670
Cape Verdean Creole	0	355
Kongo	73	105547
Khowar	0	179
Gikuyu	3	25725
Kirmanjki	0	189
Kwanyama	0	24754
Eastern Pwo	0	6
Kazakh	192	12429
Kazakh Arabic alphabets	0	1617
Kazakh in China	0	990
Kazakh in Cyrillic script	25	1708
Kazakh in Kazakhstan	9	1409
Kazakh in Latin script	13	26931
Kazakh in Turkey	8	24724
Greenlandic	5	41805
Khmer	1	845
Kannada	81	8535
Korean	42	122934
North Korean standard language	0	194
Permyak	3	275
Kanuri	1	24769
Karachay-Balkar	10	230
Krio	0	362
Kinaray-a	0	23358
Karelian	0	336
Kashmiri	0	299
Kashmiri in Arabic script	0	177
Kashmiri in Devanagari script	0	178
Ripuarian	9	29239
Kurdish	9	27333
Kurdish Arabic alphabet	0	936
Kurdish in Latin script	1	24366
Kumyk	0	2
Komi	6	346
Cornish	4	24886
Kyrgyz	605	2736
Latin	73	66443
Judaeo-Spanish	1	27949
Luxembourgish	505	203645
Lak	7	220
Lezgian	2	996
Lingua Franca Nova	9	31383
Luganda	0	24208
Limburgish	302	152089
Ligurian	76	132696
Livonian	0	1549
Laki	0	823
Ladin	1	150
Lombard	13	61097
Lingala	0	25249
Lao	0	21654
Lozi	0	23239
Northern Luri	0	383
Lithuanian	338	181955
Latgalian	6	24737
Mizo	0	23231
Southern Luri	0	11158
Latvian	66	92217
Classical Chinese	0	408280
Laz	0	23190
Madurese	1	1962
Maithili	2	3977
Banyumasan	6	75642
Moksha	35	240
Malagasy	87	131814
Marshallese	0	22648
Meadow Mari	106	630
Māori	16	37809
Minangkabau	79	156641
Macedonian	86	17488
Malayalam	37	24381
Mongolian	87	6489
Meitei	0	12
Mon language spelling	0	55
Moldovan	1	22156
Marathi	150	13961
Hill Mari	107	376
Malay	181	141737
Maltese	16	60423
Muscogee	1	25161
Mirandese	12	28011
Burmese	0	23965
Erzya	419	1650
Mazanderani	0	2441
Nauruan Wikiquote	0	25047
Nahuatl	3	27110
Southern Min	4	8450
Neapolitan	76	131093
Bokmål	2757	1222968
Low German	681	286887
Dutch Low Saxon	98	162873
Nepali	2	6292
Newar	2	1080
Ndonga	0	24646
Nias	0	1
Niuean	0	325
Dutch	50184	7080411
informal Dutch	0	6
Nynorsk	174	852369
Norwegian	0	388
Northern Thai	0	170
Novial	1	26215
N'Ko	0	263
Norman	76	109243
Northern Sotho	0	24796
Navajo	2	24807
Chewa	2	24816
Noongar	3	3942
Occitan	133	167988
Livvi-Karelian	2	2337
Oromo	0	24681
Odia	7	9118
Ossetian	248	619
Ottoman Turkish	0	203
Eastern Punjabi	9	10301
Pangasinan	3	25162
Kapampangan	7	26265
Papiamento	66	76738
Picard	129	135679
Pennsylvania German	5	30650
Plautdietsch	2	24977
Palatinate German	22	55313
Pali	2	3492
Pitkern	1	25166
Polish	5419	723653
Piedmontese	80	139745
Western Punjabi	0	7648
Pontic Greek	0	899
Old Prussian	65	74463
Pashto	0	1848
Portuguese	9061	1367636
Brazilian Portuguese	1431	285804
Quechua	4	30817
Kichwa	0	23388
Romagnol	64	52650
Riffian	0	23361
Romansh	93	164091
Finnish Kalo	0	591
Romani	0	25507
Kirundi	1	24824
Romanian	804	304341
Tarantino	2	25145
Russian	346171	357749
Rusyn	7	769
Aromanian	2	26370
Megleno-Romanian	0	1268
Megleno-Romanian in Cyrillic script	0	189
Megleno-Romanian in Latin script	0	24588
Kinyarwanda	0	24989
Marwari (India)	0	162
Sanskrit	0	2310
Sakha	42	1182
Santali	20	24547
Sardinian	79	143217
Sicilian	81	135460
Scots	1381	163544
Sindhi	0	1363
Sassarese	0	23674
Southern Kurdish	0	151
Northern Sami	8	48429
Seri	2	23606
Koyraboro Senni	0	165
Sango	0	24775
Samogitian	1	25467
Serbo-Croatian	178	59126
Tashelhit	0	622
Tachelhit in Latin script	0	24583
Tachelhit in Tifinagh script	0	177
Shan	0	215
Shawiya in Latin script	0	18
Sinhala	8	2138
Simple English	1	6864
Kildin Sami	0	326
Pite Sami	0	17838
Ume Sami	0	590
Slovak	143	304817
Saraiki	0	24
Saraiki in Arabic script	0	3
Slovene	2332	2384533
Silesian German	1	23559
Samoan	0	24851
Southern Sami	0	41893
Lule Sami	0	19080
Inari Sami	0	792
Skolt Sami	0	711
Shona	3	25817
Somali	2	25569
Albanian	12079	2504822
Serbian	273	42675
Serbian written in Cyrillic	40	10794
Serbian written in Latin script	97	98111
Sranan Tongo	2	27058
Sirionó	1	492
Swazi	1	22910
Sesotho	1	25039
Saterland Frisian	3	30348
Siberian Tatar	0	6
Sundanese	9	78558
Swedish	7122	1397601
Swahili	107	128883
Silesian	3	28589
Sakizaya	0	623
Tamil	129	24624
Atayal	0	29
Tulu	1	546
Telugu	29	13656
Tetum	4	49651
Tajik	126	47041
Tajik in Cyrillic script	0	289
Tajik in Latin script	1	25035
Thai	4	26409
Tigrinya	0	33
Turkmen	1	24250
Tagalog	140	63881
Talysh	0	182
Tswana	1	24838
Tongan	1	25042
Tok Pisin	3	26171
Turkish	213	238310
Turoyo	0	23185
Tsonga	0	24814
Tatar	10	30564
Tatar in Cyrillic script	1	812
Tatar in Latin script	0	24598
Tumbuka	1	24862
Twi	1	22894
Tahitian	20	59094
Tuvan	531	414
Central Atlas Tamazight	0	4
Udmurt	190	271
Uyghur	0	733
Uyghur Arabic alphabet	0	237
Uyghur Latin alphabet	0	24597
Ukrainian	598	163147
Urdu	0	19506
Uzbek	199	32971
Uzbek Cyrillic alphabet	0	1
Uzbek Latin alphabet	0	5
Venda	0	24970
Venetian	79	136756
Veps	0	25759
Vietnamese	889	171544
West Flemish	82	134174
Main-Franconian	68	80221
Volapük	94	110869
Votic	0	24508
Võro	1	2285
Walloon	80	138540
Waray	30	44524
Wolof	75	105732
Wu Chinese	1	9708
Kalmyk Oirat	17	241
Xhosa	1	25305
Mingrelian	1	2482
Yiddish	8	2910
Yoruba	80	34801
Cantonese	2	23040
Zhuang	0	24761
Zeelandic	7	30534
Standard Moroccan Berber	0	4
Chinese	2385	721457
Putonghua	8	55830
Simplified Chinese	9	88565
Traditional Chinese	14	550919
Chinese (Hong Kong)	1	39083
Chinese in Macau	1	5141
Malaysian Mandarin	1	5177
Singaporean Mandarin	1	19319
Taiwanese Mandarin	1	25719
Zulu	83	107018
