language_long	npn_comma
Southern Luri	0
Latvian	66
Classical Chinese	0
Laz	0
Madurese	1
Maithili	2
Banyumasan	6
Moksha	35
Malagasy	87
Marshallese	0
Meadow Mari	106
Māori	16
Minangkabau	79
Macedonian	86
Malayalam	37
Mongolian	87
Meitei	0
Mon language spelling	0
Moldovan	1
Marathi	150
Hill Mari	107
Malay	181
Maltese	16
Muscogee	1
Mirandese	12
Burmese	0
Erzya	419
Mazanderani	0
Nauruan Wikiquote	0
Nahuatl	3
Southern Min	4
Neapolitan	76
Bokmål	2757
Low German	681
Dutch Low Saxon	98
Nepali	2
Newar	2
Ndonga	0
Nias	0
Niuean	0
Dutch	50184
informal Dutch	0
Nynorsk	174
Norwegian	0
Northern Thai	0
Novial	1
N'Ko	0
Norman	76
Northern Sotho	0
Navajo	2
Chewa	2
Noongar	3
Occitan	133
Livvi-Karelian	2
Oromo	0
Odia	7
Ossetian	248
Ottoman Turkish	0
Eastern Punjabi	9
Pangasinan	3
Kapampangan	7
Papiamento	66
Picard	129
Pennsylvania German	5
Plautdietsch	2
Palatinate German	22
Pali	2
Pitkern	1
Polish	5419
Piedmontese	80
Western Punjabi	0
Pontic Greek	0
Old Prussian	65
Pashto	0
Portuguese	9061
Brazilian Portuguese	1431
Quechua	4
Kichwa	0
Romagnol	64
Riffian	0
Romansh	93
Finnish Kalo	0
Romani	0
Kirundi	1
Romanian	804
Tarantino	2
Russian	346171
Rusyn	7
Aromanian	2
Megleno-Romanian	0
Megleno-Romanian in Cyrillic script	0
Megleno-Romanian in Latin script	0
Kinyarwanda	0
Marwari (India)	0
Sanskrit	0
Sakha	42
Santali	20
Sardinian	79
Sicilian	81
Scots	1381
Sindhi	0
Sassarese	0
Southern Kurdish	0
Northern Sami	8
Seri	2
Koyraboro Senni	0
Sango	0
Samogitian	1
Serbo-Croatian	178
Tashelhit	0
Tachelhit in Latin script	0
Tachelhit in Tifinagh script	0
Shan	0
Shawiya in Latin script	0
Sinhala	8
Simple English	1
Kildin Sami	0
Pite Sami	0
Ume Sami	0
Slovak	143
Saraiki	0
Saraiki in Arabic script	0
Slovene	2332
Silesian German	1
Samoan	0
Southern Sami	0
Lule Sami	0
Inari Sami	0
Skolt Sami	0
Shona	3
Somali	2
Albanian	12079
Serbian	273
Serbian written in Cyrillic	40
Serbian written in Latin script	97
Sranan Tongo	2
Sirionó	1
Swazi	1
Sesotho	1
Saterland Frisian	3
Siberian Tatar	0
Sundanese	9
Swedish	7122
Swahili	107
Silesian	3
Sakizaya	0
Tamil	129
Atayal	0
Tulu	1
Telugu	29
Tetum	4
Tajik	126
Tajik in Cyrillic script	0
Tajik in Latin script	1
Thai	4
Tigrinya	0
Turkmen	1
Tagalog	140
Talysh	0
Tswana	1
Tongan	1
Tok Pisin	3
Turkish	213
Turoyo	0
Tsonga	0
Tatar	10
Tatar in Cyrillic script	1
Tatar in Latin script	0
Tumbuka	1
Twi	1
Tahitian	20
Tuvan	531
Central Atlas Tamazight	0
Udmurt	190
Uyghur	0
Uyghur Arabic alphabet	0
Uyghur Latin alphabet	0
Ukrainian	598
Urdu	0
Uzbek	199
Uzbek Cyrillic alphabet	0
Uzbek Latin alphabet	0
Venda	0
Venetian	79
Veps	0
Vietnamese	889
West Flemish	82
Main-Franconian	68
Volapük	94
Votic	0
Võro	1
Walloon	80
Waray	30
Wolof	75
Wu Chinese	1
Kalmyk Oirat	17
Xhosa	1
Mingrelian	1
Yiddish	8
Yoruba	80
Cantonese	2
Zhuang	0
Zeelandic	7
Standard Moroccan Berber	0
Chinese	2385
Putonghua	8
Simplified Chinese	9
Traditional Chinese	14
Chinese (Hong Kong)	1
Chinese in Macau	1
Malaysian Mandarin	1
Singaporean Mandarin	1
Taiwanese Mandarin	1
Zulu	83
