language_long	npn_baseline
Māori	0
Minangkabau	0
Macedonian	0
Malayalam	0
Mongolian	0
Meitei	0
Mon language spelling	0
Moldovan	0
Marathi	0
Hill Mari	0
Malay	0
Maltese	0
Muscogee	0
Mirandese	0
Burmese	0
Erzya	0
Mazanderani	0
Nauruan Wikiquote	0
Nahuatl	0
Southern Min	0
Neapolitan	0
Bokmål	0
Low German	0
Dutch Low Saxon	0
Nepali	0
Newar	0
Ndonga	0
Nias	0
Niuean	0
Dutch	0
informal Dutch	0
Nynorsk	0
Norwegian	0
Northern Thai	0
Novial	0
N'Ko	0
Norman	0
Northern Sotho	0
Navajo	0
Chewa	0
Noongar	0
Occitan	0
Livvi-Karelian	0
Oromo	0
Odia	0
Ossetian	0
Ottoman Turkish	0
Eastern Punjabi	0
Pangasinan	0
Kapampangan	0
Papiamento	0
Picard	0
Pennsylvania German	0
Plautdietsch	0
Palatinate German	0
Pali	0
Pitkern	0
Polish	0
Piedmontese	0
Western Punjabi	0
Pontic Greek	0
Old Prussian	0
Pashto	0
Portuguese	0
Brazilian Portuguese	0
Quechua	0
Kichwa	0
Romagnol	0
Riffian	0
Romansh	0
Finnish Kalo	0
Romani	0
Kirundi	0
Romanian	0
Tarantino	0
Russian	0
Rusyn	0
Aromanian	0
Megleno-Romanian	0
Megleno-Romanian in Cyrillic script	0
Megleno-Romanian in Latin script	0
Kinyarwanda	0
Marwari (India)	0
Sanskrit	0
Sakha	0
Santali	0
Sardinian	0
Sicilian	0
Scots	0
Sindhi	0
Sassarese	0
Southern Kurdish	0
Northern Sami	0
Seri	0
Koyraboro Senni	0
Sango	0
Samogitian	0
Serbo-Croatian	0
Tashelhit	0
Tachelhit in Latin script	0
Tachelhit in Tifinagh script	0
Shan	0
Shawiya in Latin script	0
Sinhala	0
Simple English	0
Kildin Sami	0
Pite Sami	0
Ume Sami	0
Slovak	0
Saraiki	0
Saraiki in Arabic script	0
Slovene	0
Silesian German	0
Samoan	0
Southern Sami	0
Lule Sami	0
Inari Sami	0
Skolt Sami	0
Shona	0
Somali	0
Albanian	0
Serbian	0
Serbian written in Cyrillic	0
Serbian written in Latin script	0
Sranan Tongo	0
Sirionó	0
Swazi	0
Sesotho	0
Saterland Frisian	0
Siberian Tatar	0
Sundanese	0
Swedish	0
Swahili	0
Silesian	0
Sakizaya	0
Tamil	0
Atayal	0
Tulu	0
Telugu	0
Tetum	0
Tajik	0
Tajik in Cyrillic script	0
Tajik in Latin script	0
Thai	0
Tigrinya	0
Turkmen	0
Tagalog	0
Talysh	0
Tswana	0
Tongan	0
Tok Pisin	0
Turkish	0
Turoyo	0
Tsonga	0
Tatar	0
Tatar in Cyrillic script	0
Tatar in Latin script	0
Tumbuka	0
Twi	0
Tahitian	0
Tuvan	0
Central Atlas Tamazight	0
Udmurt	0
Uyghur	0
Uyghur Arabic alphabet	0
Uyghur Latin alphabet	0
Ukrainian	0
Urdu	0
Uzbek	0
Uzbek Cyrillic alphabet	0
Uzbek Latin alphabet	0
Venda	0
Venetian	0
Veps	0
Vietnamese	0
West Flemish	0
Main-Franconian	0
Volapük	0
Votic	0
Võro	0
Walloon	0
Waray	0
Wolof	0
Wu Chinese	0
Kalmyk Oirat	0
Xhosa	0
Mingrelian	0
Yiddish	0
Yoruba	0
Cantonese	0
Zhuang	0
Zeelandic	0
Standard Moroccan Berber	0
Chinese	0
Putonghua	0
Simplified Chinese	0
Traditional Chinese	0
Chinese (Hong Kong)	0
Chinese in Macau	0
Malaysian Mandarin	0
Singaporean Mandarin	0
Taiwanese Mandarin	0
Zulu	0
