language_long	npn_remove_parenthesis_permute_comma
Eastern Canadian in Latin script	3
Ilocano	15
Ingush	2
Ido	93
Icelandic	79
Italian	15129
Inuktitut	0
Japanese	12593
Jamaican Creole	70
Lojban	12
Jutlandic	1
Javanese	50
Georgian	613
Karakalpak	5
Kabyle	69
Kabardian	0
Kabardian in Cyrillic script	0
Kabiye	0
Cape Verdean Creole	0
Kongo	75
Khowar	0
Gikuyu	3
Kirmanjki	0
Kwanyama	0
Eastern Pwo	0
Kazakh	245
Kazakh Arabic alphabets	1
Kazakh in China	1
Kazakh in Cyrillic script	26
Kazakh in Kazakhstan	10
Kazakh in Latin script	14
Kazakh in Turkey	9
Greenlandic	6
Khmer	3
Kannada	131
Korean	1962
North Korean standard language	0
Permyak	3
Kanuri	1
Karachay-Balkar	10
Krio	0
Kinaray-a	0
Karelian	0
Kashmiri	0
Kashmiri in Arabic script	0
Kashmiri in Devanagari script	0
Ripuarian	12
Kurdish	21
Kurdish Arabic alphabet	0
Kurdish in Latin script	1
Kumyk	0
Komi	6
Cornish	5
Kyrgyz	620
Latin	241
Judaeo-Spanish	1
Luxembourgish	649
Lak	7
Lezgian	2
Lingua Franca Nova	10
Luganda	0
Limburgish	349
Ligurian	87
Livonian	0
Laki	0
Ladin	4
Lombard	32
Lingala	0
Lao	3
Lozi	0
Northern Luri	0
Lithuanian	752
Latgalian	6
Mizo	0
Southern Luri	0
Latvian	117
Classical Chinese	42622
Laz	0
Madurese	1
Maithili	17
Banyumasan	23
Moksha	35
Malagasy	135
Marshallese	0
Meadow Mari	106
Māori	16
Minangkabau	100
Macedonian	207
Malayalam	139
Mongolian	97
Meitei	0
Mon language spelling	5
Moldovan	1
Marathi	224
Hill Mari	107
Malay	306
Maltese	96
Muscogee	1
Mirandese	12
Burmese	161
Erzya	422
Mazanderani	4
Nauruan Wikiquote	0
Nahuatl	4
Southern Min	31
Neapolitan	86
Bokmål	6134
Low German	1055
Dutch Low Saxon	304
Nepali	67
Newar	11
Ndonga	0
Nias	0
Niuean	0
Dutch	80830
informal Dutch	0
Nynorsk	352
Norwegian	0
Northern Thai	0
Novial	2
N'Ko	0
Norman	78
Northern Sotho	0
Navajo	3
Chewa	3
Noongar	3
Occitan	157
Livvi-Karelian	2
Oromo	0
Odia	13
Ossetian	249
Ottoman Turkish	0
Eastern Punjabi	122
Pangasinan	3
Kapampangan	11
Papiamento	88
Picard	141
Pennsylvania German	8
Plautdietsch	5
Palatinate German	227
Pali	2
Pitkern	1
Polish	21711
Piedmontese	103
Western Punjabi	87
Pontic Greek	0
Old Prussian	66
Pashto	5
Portuguese	22299
Brazilian Portuguese	2373
Quechua	9
Kichwa	0
Romagnol	65
Riffian	0
Romansh	111
Finnish Kalo	0
Romani	0
Kirundi	1
Romanian	1202
Tarantino	2
Russian	349440
Rusyn	17
Aromanian	2
Megleno-Romanian	0
Megleno-Romanian in Cyrillic script	0
Megleno-Romanian in Latin script	0
Kinyarwanda	1
Marwari (India)	0
Sanskrit	9
Sakha	57
Santali	42
Sardinian	95
Sicilian	93
Scots	1534
Sindhi	12
Sassarese	0
Southern Kurdish	0
Northern Sami	11
Seri	2
Koyraboro Senni	0
Sango	0
Samogitian	4
Serbo-Croatian	407
Tashelhit	0
Tachelhit in Latin script	0
Tachelhit in Tifinagh script	0
Shan	8
Shawiya in Latin script	0
Sinhala	16
Simple English	13
Kildin Sami	0
Pite Sami	0
Ume Sami	0
Slovak	524
Saraiki	0
Saraiki in Arabic script	0
Slovene	2667
Silesian German	1
Samoan	0
Southern Sami	0
Lule Sami	0
Inari Sami	1
Skolt Sami	0
Shona	3
Somali	4
Albanian	14783
Serbian	656
Serbian written in Cyrillic	42
Serbian written in Latin script	100
Sranan Tongo	23
Sirionó	1
Swazi	1
Sesotho	1
Saterland Frisian	3
Siberian Tatar	0
Sundanese	32
Swedish	16372
Swahili	127
Silesian	4
Sakizaya	1
Tamil	533
Atayal	0
Tulu	1
Telugu	91
Tetum	5
Tajik	137
Tajik in Cyrillic script	0
Tajik in Latin script	1
Thai	168
Tigrinya	0
Turkmen	2
Tagalog	193
Talysh	0
Tswana	1
Tongan	6
Tok Pisin	3
Turkish	1163
Turoyo	0
Tsonga	0
Tatar	64
Tatar in Cyrillic script	6
Tatar in Latin script	0
Tumbuka	1
Twi	2
Tahitian	24
Tuvan	531
Central Atlas Tamazight	0
Udmurt	191
Uyghur	8
Uyghur Arabic alphabet	0
Uyghur Latin alphabet	0
Ukrainian	3276
Urdu	266
Uzbek	241
Uzbek Cyrillic alphabet	0
Uzbek Latin alphabet	0
Venda	0
Venetian	96
Veps	1
Vietnamese	2400
West Flemish	100
Main-Franconian	72
Volapük	155
Votic	0
Võro	2
Walloon	93
Waray	41
Wolof	77
Wu Chinese	227
Kalmyk Oirat	17
Xhosa	1
Mingrelian	11
Yiddish	21
Yoruba	98
Cantonese	129
Zhuang	1
Zeelandic	7
Standard Moroccan Berber	0
Chinese	48426
Putonghua	1079
Simplified Chinese	37
Traditional Chinese	43790
Chinese (Hong Kong)	9
Chinese in Macau	3
Malaysian Mandarin	2
Singaporean Mandarin	3
Taiwanese Mandarin	65
Zulu	86
